INFO 2024-07-26 12:40:45,516 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/sqlparse/lexer.py first seen with mtime 1721904967.3684006
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/forms/__init__.py first seen with mtime 1721904967.9684207
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/templatetags/__init__.py first seen with mtime 1721904967.9844215
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/lib-dynload/_contextvars.cpython-310-x86_64-linux-gnu.so first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/files/storage/mixins.py first seen with mtime 1721904967.9324195
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/template/defaulttags.py first seen with mtime 1721904967.9844215
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/asyncio/base_futures.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/checks/compatibility/__init__.py first seen with mtime 1721904967.9324195
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/functions/text.py first seen with mtime 1721904967.9644208
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/lookups.py first seen with mtime 1721904967.9604206
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/shlex.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/lib-dynload/termios.cpython-310-x86_64-linux-gnu.so first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/asgiref/local.py first seen with mtime 1721904967.3964016
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/linecache.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/forms/forms.py first seen with mtime 1721904967.9684207
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/traceback.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/views/decorators/__init__.py first seen with mtime 1721904967.9964218
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/posixpath.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1721904967.9644208
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/contrib/admin/actions.py first seen with mtime 1721904967.5444067
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/checks/database.py first seen with mtime 1721904967.9284196
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/exceptions.py first seen with mtime 1721904967.9284196
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/_weakrefset.py first seen with mtime 1711126205.0
